"";"data_coleta_dados";"comite";"comite_numero";"nome_reuniao";"data_reuniao";"data_postagem";"url_link";"numero_link";"formato_link"
"1";2020-10-12;"Paraíba do Sul";2;NA;NA;NA;NA;NA;NA
"2";2020-10-12;"Litoral Norte";3;"Ata da 3ª Reunião Ordinária de 2019 do CBH-LN";2019-12-13;2020-09-01;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/19020/ata_3-reunia-o_ordina-ria_cbh-ln_2019.pdf";"ata_1";".pdf"
"3";2020-10-12;"Litoral Norte";3;"Ata da 2ª Reunião Ordinária de 2019 do CBH-LN";2019-07-26;2019-12-18;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/18640/ata_2areuniao_ordinaria_cbh-ln_2019.pdf";"ata_1";".pdf"
"4";2020-10-12;"Litoral Norte";3;"Ata da 1ª Reunião Ordinária de 2019 do CBH-LN";2019-03-29;2019-07-31;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/17414/ata_1-reuniao_ordinaria_cbh-ln_2019.pdf";"ata_1";".pdf"
"5";2020-10-12;"Litoral Norte";3;"Ata da 2ª Reunião Ordinária de 2018 do CBH-LN";2018-12-14;2019-04-04;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/15152/ata_2-reuniao_ordinaria_cbh-ln_2018.pdf";"ata_1";".pdf"
"6";2020-10-12;"Litoral Norte";3;"Ata da 1ª Reunião Ordinária do CBH-LN em 2018";2018-06-28;2019-02-05;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/14080/ata_1-reuniao_ordinaria_cbh-ln_2018.pdf";"ata_1";".pdf"
"7";2020-10-12;"Litoral Norte";3;"Ata da 1ª Reunião Extraordinária do CBH-LN em 2018";2018-05-18;2018-07-04;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/13799/ata-da-1-reuniao-extraordinaria-do-cbh-ln-2018.pdf";"ata_1";".pdf"
"8";2020-10-12;"Litoral Norte";3;"Ata da 3ª Reunião Ordinária do CBH-LN em 2017";2017-12-15;2018-07-04;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/13798/ata-da-3-reuniao-ordinaria-do-cbh-ln-2017.pdf";"ata_1";".pdf"
"9";2020-10-12;"Litoral Norte";3;"Ata da 1ª Reunião Extrardinária do CBH-LN em 2017";2017-10-19;2018-07-04;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/13797/ata_1-reuniao_extraordinaria_cbh-ln.pdf";"ata_1";".pdf"
"10";2020-10-12;"Litoral Norte";3;"Ata da 2ª Reunião Ordinária do CBH-LN em 2017";2017-06-30;2018-07-04;"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-LN/13796/ata-da-2-reuniao-ordinaria-do-cbh.pdf";"ata_1";".pdf"
