"";"data_coleta_dados";"site_coleta";"comite";"n_ugrhi";"nome_reuniao";"data_reuniao";"data_postagem";"numero_link";"url_link"
"1";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2019-11-12;2020-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/18931/ata-reuniao-plenaria-cbh-sm-12-11-2019-publicar.pdf"
"2";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2019-06-18;2019-12-10;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/18595/ata-reuniao-plenaria-cbh-sm-18-06-2019-publicar.pdf"
"3";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2019-03-29;2019-06-19;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/16296/ata-reuniao-plenaria-cbh-sm-29-03-2019-publicar.pdf"
"4";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2019-02-14;2019-03-29;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/15129/ata-reuniao-da-sociedade-civil-14-02-2019.pdf"
"5";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2018-12-13;2019-03-29;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/15128/ata-reuniao-plenaria-cbh-sm-13-12-2018-publicar.pdf"
"6";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião com o segmento Estado do CBH-SM";2018-08-15;2018-12-12;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/15135/ata-reuniao-membros-do-estado-15-08-2018.pdf"
"7";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2018-06-21;2018-12-13;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/13991/ata-reuniao-plenaria-cbh-sm-21-06-2018-publicar.pdf"
"8";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2017-12-12;2018-06-21;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/13770/ata-reuniao-plenaria-cbh-sm-12-12-2017-publicar.pdf"
"9";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2017-06-22;2017-12-13;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/12411/ata-reuniao-plenaria-cbh-sm-22-06-2017-publicar.pdf"
"10";2020-10-21;"http://www.sigrh.sp.gov.br/cbhsm/atas";"Serra da Mantiqueira";1;"ATA da Reunião Plenária do CBH-SM";2017-03-31;2017-06-23;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-SM/12196/ata-reuniao-plenaria-cbh-sm-31-03-2017-publicar.pdf"
